studio,polish title,release year,duration (mi),director,screenplay,genre,country,universe,boxoffice (USD),budget (USD),original title,distribution
"['Epic Productions', 'Universal Pictures', 'Bregman/Baer Productions']",Życie Carlita,1993,144,['Brian De Palma'],['David Koepp'],['Crime'],['USA'],,63848322,30000000,Carlito's Way,
"['Astoria Films', 'Baltimore Pictures', 'PolyGram Filmed Entertainment']",Uśpieni,1996,146,['Barry Levinson'],['Barry Levinson'],"['Drama', 'Thriller']",['USA'],,165615285,44000000,Sleepers,
"['Epsilon Motion Pictures', 'Fox 2000 Pictures', 'New Regency Pictures']",Człowiek w ogniu,2004,146,['Tony Scott'],['Brian Helgeland'],"['Drama', 'Sensational']","['USA', 'Great Britain', 'Switzerland', 'Mexico']",,130834852,70000000,Man on Fire,Cinepix
"['Hollywood Pictures', 'Spyglass Entertainment', 'Barry Mendel Productions']",Szósty zmysł,1999,107,['M. Night Shyamalan'],['M. Night Shyamalan'],['Thriller'],['USA'],,672806432,40000000,The Sixth Sense,Syrena EG
"['DreamWorks Animation', 'DreamWorks SKG', 'Pacific Data Images']",Shrek,2001,90,"['Andrew Adamson', 'Vicky Jenson']","['Joe Stillman', 'Roger S.H. Schulman']","['Animation', 'Family', 'Comedy']",['USA'],,488351320,60000000,Shrek,United International Pictures Sp z o.o.
['Studio Filmowe Iluzjon'],Sami swoi,1967,78,['Sylwester Chęciński'],['Andrzej Mularczyk'],['Comedy'],['Poland'],,,,Sami swoi,
"['Mirisch Production Company, The', 'Cartier Productions']",Skrzypek na dachu,1971,181,['Norman Jewison'],['Joseph Stein'],"['Drama', 'Musical']",['USA'],,10405457,9000000,Fiddler on the Roof,Imperial
"['Columbia Pictures', 'Bill/Phillips', 'Italo/Judeo Productions']",Taksówkarz,1976,113,['Martin Scorsese'],['Paul Schrader'],['Drama'],['USA'],,28570902,1300000,Taxi Driver,
"['PolyGram Filmed Entertainment', 'A&B Producoes, Lda.', 'Propaganda Films']",Gra,1997,128,['David Fincher'],"['John Brancato', 'Michael Ferris']",['Thriller'],['USA'],,109423648,50000000,The Game,ITI Home Video
"['Agencja Produkcji Filmowej', 'Best Film', 'Canal+ Polska']",Chłopaki nie płaczą,2000,96,['Olaf Lubaszenko'],['Mikołaj Korzyński'],"['Sensational', 'Comedy']",['Poland'],,,,Chłopaki nie płaczą,Best Film
"['Warner Bros.', 'Hawk Films', 'Peregrine']",Lśnienie,1980,146,['Stanley Kubrick'],"['Stanley Kubrick', 'Diane Johnson']",['Horror'],"['Great Britain', 'USA']",['Stephen King'],47335804,19000000,The Shining,Warner Home Video
"['Film Department, The', 'Evil Twins', 'Gerard Butler Alan Siegel Entertainment']",Prawo zemsty,2009,109,['F. Gary Gray'],['Kurt Wimmer'],['Thriller'],['USA'],,127944208,50000000,Law Abiding Citizen,Best Film
"['Celandine Films', 'The Monty Python Partnership', 'Universal Pictures']",Sens życia wg Monty Pythona,1983,107,"['Terry Gilliam', 'Terry Jones']","['John Cleese', 'Graham Chapman']",['Comedy'],['Great Britain'],,14949697,9000000,The Meaning of Life,
"['Paramount Pictures', 'Rysher Entertainment']",Lęk pierwotny,1996,129,['Gregory Hoblit'],"['Steve Shagan', 'Ann Biderman']","['Drama', 'Thriller']",['USA'],,102616183,30000000,Primal Fear,ITI Home Video
"['A24', 'Element Pictures', 'Film4']",Pokój,2015,118,['Lenny Abrahamson'],['Emma Donoghue'],['Drama'],"['Ireland', 'Canada', 'Great Britain', 'USA']",,35401758,13000000,Room,Monolith Films
"['Touchstone Pictures', 'Silver Screen Partners IV']",Stowarzyszenie Umarłych Poetów,1989,128,['Peter Weir'],['Tom Schulman'],['Drama'],['USA'],,235860116,16400000,Dead Poets Society,ITI FILM STUDIO
,Tylko nie mów nikomu,2019,121,['Tomasz Sekielski'],['Tomasz Sekielski'],['Documentary'],['Poland'],,,,,
"['Ciné@', 'Film4', 'Trademark Films']",Ojciec,2020,97,['Florian Zeller'],"['Florian Zeller', 'Christopher Hampton']",['Drama'],"['Great Britain', 'France']",,24668857,6000000,The Father,United International Pictures Sp z o.o.
"['Goldcrest Films International', 'Metro-Goldwyn-Mayer', 'Tin Blue']",Ściana,1982,95,['Alan Parker'],['Roger Waters'],"['Drama', 'Musical', 'Animation']",['Great Britain'],,22265763,12000000,Pink Floyd The Wall,
"['Agencja Produkcji Filmowej', 'Non Stop Film Service', 'Studio Filmowe Zebra']",Dzień świra,2002,93,['Marek Koterski'],['Marek Koterski'],"['Drama', 'Comedy', 'Psychological']",['Poland'],,1277521,,Dzień świra,Vision Film Distribution
"['Ashton Productions', 'Mirisch Corporation, The']","Pół żartem, pół serio",1959,120,['Billy Wilder'],"['I.A.L. Diamond', 'Billy Wilder']",['Comedy'],['USA'],,25038874,2883848,Some Like It Hot,Vivarto
"['micro_scope', 'Phi Group']",Pogorzelisko,2010,130,['Denis Villeneuve'],['Denis Villeneuve'],"['Drama', 'War']","['Canada', 'France']",,6788659,6800000,Incendies,Hagi
"['Metro-Goldwyn-Mayer', 'Selznick International Pictures']",Przeminęło z wiatrem,1939,226,"['George Cukor', 'Sam Wood']",['Sidney Howard'],"['Costume', 'Drama']",['USA'],,402382193,3977000,Gone with the Wind,Vivarto
"['SKA Films', 'Steve Tisch Company, The', 'Summit Entertainment']",Porachunki,1998,107,['Guy Ritchie'],['Guy Ritchie'],"['Crime', 'Comedy']",['Great Britain'],,28356188,1400000,"Lock, Stock and Two Smoking Barrels",Syrena EG
['Studio Filmowe Kadr'],Seksmisja,1983,116,['Juliusz Machulski'],['Juliusz Machulski'],"['Comedy', 'Sci-fi']",['Poland'],,,,Seksmisja,Best Film
['Platige Image'],Katedra,2002,7,['Tomasz Bagiński'],['Tomasz Bagiński'],"['Animation', 'Short']",['Poland'],,,,Katedra,
